username,neuroticism,extraversion,openness,agreeableness,conscientiousness,tweet,t_lang,t_len
aleswift,99,61,92,85,81,happy birthday to me,en,20
aleswift,99,61,92,85,81,see my personality traits,en,25
aleswift,99,61,92,85,81,and for a moment everything was perfect,en,39
aleswift,99,61,92,85,81,i love u,en,8
aleswift,99,61,92,85,81,sometimes giving up is the strong thing sometimes to run is the brave thing sometimes walking out is the one thing that will find you the right thing,en,149
aleswift,99,61,92,85,81,that old familiar body ache the snaps from the same little breaks in your soul you know when it s time to go,en,108
aleswift,99,61,92,85,81,i was a dreamer before you went and let me down,en,47
aleswift,99,61,92,85,81,i think i am finally clean,en,26
aleswift,99,61,92,85,81,georgeous,en,9
aleswift,99,61,92,85,81,happybirthdaytaylorswift thank u so much for all you had give me a lot this year my best wishes for you taylorswift13,en,117
aleswift,99,61,92,85,81,i just want to tell you that in mexico all the fans are supporting you if i have learn something of your music is that you must never give up i send all my love to you i don t know if this helps but you ll ever have someone who listen and treasure your legacy in me,en,265
aleswift,99,61,92,85,81,all too well,en,12
aleswift,99,61,92,85,81,that has been my bio message since i have twitter,en,49
aleswift,99,61,92,85,81,quisiera ser bien vale madre como avril lavigne en su video what the hell,en,73
aleswift,99,61,92,85,81,pinche d a feo,en,14
aleswift,99,61,92,85,81,confirmo,en,8
aleswift,99,61,92,85,81,ayer decoramos la casa mientras yo pon a christmas tree farm una y otra vez y mi novio dec a morir de ternura cuando canto and you would be there tooooooooo under the mistletoe watchin the fire glow and tellin me i love you,en,223
aleswift,99,61,92,85,81,this is our place we make the rules,en,35
aleswift,99,61,92,85,81,deb suponerlo,en,13
aleswift,99,61,92,85,81,this is the golden age of something good and right and real,en,59
aleswift,99,61,92,85,81,death by a thousand cuts,en,24
aleswift,99,61,92,85,81,the first time i kissed my boyfriend he wasn t my boyfriend then he was just this boy i shared class with but when we kissed it was like i gotta tell you it was like i d never kissed any other man before it was like my first kiss the right kiss,en,244
aleswift,99,61,92,85,81,weeeeeeeeeee,en,12
aleswift,99,61,92,85,81,a few years ago i was just a kid who wanted to be understand by someone and i found that feeling in taylor s music it s unfair that the music who saved me now belongs to a disgusting human being westandwithtaylor,en,212
aleswift,99,61,92,85,81,say you ll remember me standing in a nice dress staring at the sunset babe red lips and rosy cheeks say you ll see me again even if it s just in your wildest dreams,en,164
aleswift,99,61,92,85,81,mi pap,en,6
aleswift,99,61,92,85,81,you can t spell awesome without me,en,34
aleswift,99,61,92,85,81,fearless,en,8
aleswift,99,61,92,85,81,i could be watching jennifer aniston movies all day,en,51
